model,ins_id,param_id,length,format,ori,hit,num,correct,total_score
gpt-5.2,3,0,120,1.0,1.0,0.75,0.5833333333333334,1.0,0.8452380952380952
gpt-5.2,3,1,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,120,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-5.2,4,2,120,1.0,1.0,0.875,0.5833333333333334,0.375,0.7291666666666667
gpt-5.2,4,3,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,0,3,3,1.0,1.0,1.0,0.08333333333333333,0.75,0.6845238095238095
gpt-oss-120b,0,4,3,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,1,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,1,3,1.0,1.0,0.9166666666666666,1.0,0.16666666666666666,0.8095238095238095
gpt-oss-120b,1,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,2,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,2,1,3,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,2,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,2,3,3,1.0,1.0,1.0,0.25,1.0,0.7857142857142857
gpt-oss-120b,2,4,3,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,3,1,3,1.0,1.0,0.8125,0.5833333333333334,0.875,0.8273809523809524
gpt-oss-120b,3,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,3,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,4,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,4,1,3,1.0,1.0,0.9375,1.0,0.125,0.8035714285714286
gpt-oss-120b,4,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,4,3,3,1.0,1.0,1.0,0.08333333333333333,0.4000000000000001,0.6095238095238095
gpt-oss-120b,4,4,3,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,0,0,6,1.0,1.0,1.0,0.25,0.0,0.5714285714285714
gpt-oss-120b,0,1,6,0.9259259259259259,1.0,0.5,0.25,0.4444444444444444,0.5793650793650793
gpt-oss-120b,0,2,6,1.0,1.0,1.0,0.08333333333333333,0.0,0.5238095238095238
gpt-oss-120b,0,3,6,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,0,4,6,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,1,0,6,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,1,1,6,1.0,1.0,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.7619047619047619
gpt-oss-120b,1,2,6,1.0,1.0,1.0,1.0,1.0,1.0
gpt-oss-120b,1,3,6,0.8666666666666667,1.0,0.5,0.25,0.4000000000000001,0.5571428571428572
gpt-oss-120b,1,4,6,1.0,1.0,1.0,1.0,0.25,0.8392857142857143
gpt-oss-120b,2,0,6,0.16666666666666666,1.0,1.0,0.5833333333333334,0.25,0.5416666666666667
gpt-oss-120b,2,1,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.8571428571428571
gpt-oss-120b,2,2,6,1.0,1.0,0.875,0.5833333333333334,0.125,0.6755952380952381
gpt-oss-120b,2,3,6,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,2,4,6,0.9047619047619048,1.0,1.0,0.5833333333333334,0.0,0.6462585034013605
gpt-oss-120b,3,0,6,1.0,1.0,1.0,1.0,0.16666666666666666,0.8214285714285714
gpt-oss-120b,3,1,6,1.0,1.0,0.75,0.5833333333333334,0.0,0.630952380952381
gpt-oss-120b,3,2,6,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,3,3,6,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,3,4,6,1.0,1.0,1.0,0.08333333333333333,0.42857142857142855,0.6156462585034014
gpt-oss-120b,4,0,6,1.0,1.0,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.7619047619047619
gpt-oss-120b,4,1,6,0.888888888888889,1.0,1.0,0.0,0.3333333333333333,0.5476190476190477
gpt-oss-120b,4,2,6,1.0,1.0,1.0,0.08333333333333333,0.6,0.6523809523809524
gpt-oss-120b,4,3,6,0.9259259259259259,1.0,1.0,0.5833333333333334,0.0,0.6507936507936508
gpt-oss-120b,4,4,6,1.0,1.0,1.0,1.0,0.25,0.8392857142857143
gpt-oss-120b,0,0,13,1.0,1.0,0.3125,0.5833333333333334,0.25,0.6220238095238095
gpt-oss-120b,0,1,13,1.0,1.0,0.9375,1.0,0.125,0.8035714285714286
gpt-oss-120b,0,2,13,1.0,1.0,0.625,0.5833333333333334,0.375,0.693452380952381
gpt-oss-120b,0,3,13,1.0,1.0,1.0,0.3333333333333333,0.0,0.5952380952380952
gpt-oss-120b,0,4,13,1.0,1.0,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.6547619047619048
gpt-oss-120b,1,0,13,1.0,1.0,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.6904761904761905
gpt-oss-120b,1,1,13,1.0,1.0,0.25,0.5833333333333334,0.0,0.5595238095238095
gpt-oss-120b,1,2,13,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,3,13,1.0,1.0,0.8125,0.5833333333333334,0.125,0.6666666666666667
gpt-oss-120b,1,4,13,1.0,1.0,0.25,0.5833333333333334,0.0,0.5595238095238095
gpt-oss-120b,2,0,13,1.0,1.0,1.0,0.08333333333333333,0.5,0.630952380952381
gpt-oss-120b,2,1,13,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,2,2,13,1.0,1.0,0.25,0.5833333333333334,0.16666666666666666,0.5952380952380952
gpt-oss-120b,2,3,13,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,2,4,13,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,3,0,13,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,3,1,13,1.0,1.0,0.75,0.5833333333333334,0.75,0.7916666666666667
gpt-oss-120b,3,2,13,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-oss-120b,3,3,13,1.0,1.0,0.875,1.0,0.25,0.8214285714285714
gpt-oss-120b,3,4,13,1.0,1.0,0.9166666666666666,1.0,1.0,0.9880952380952381
gpt-oss-120b,4,0,13,1.0,1.0,0.16666666666666666,0.5833333333333334,0.0,0.5476190476190477
gpt-oss-120b,4,1,13,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,4,2,13,1.0,1.0,0.25,0.5833333333333334,0.5,0.6666666666666667
gpt-oss-120b,4,3,13,1.0,1.0,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.6785714285714286
gpt-oss-120b,4,4,13,1.0,1.0,0.3125,0.5833333333333334,0.125,0.5952380952380952
gpt-oss-120b,0,0,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,0,1,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,0,2,28,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,0,3,28,1.0,1.0,0.5,0.5833333333333334,0.5,0.7023809523809524
gpt-oss-120b,0,4,28,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,1,0,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,1,1,28,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,1,2,28,1.0,1.0,0.75,1.0,1.0,0.9642857142857143
gpt-oss-120b,1,3,28,1.0,1.0,0.25,0.5833333333333334,0.25,0.6130952380952381
gpt-oss-120b,1,4,28,1.0,1.0,0.0,0.5833333333333334,0.0,0.5238095238095238
gpt-oss-120b,2,0,28,1.0,1.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.5833333333333333
gpt-oss-120b,2,1,28,1.0,1.0,0.5,0.5833333333333334,0.0,0.5952380952380952
gpt-oss-120b,2,2,28,1.0,1.0,0.25,0.5833333333333334,0.25,0.6130952380952381
